Titanic passager,Status,Home Country,Age,Crew or Passenger?,Gender,Class / Department,Ticket Number,Fare Price
"SKOOG, Miss Mabel",Victim,Sweden,9.0,Passenger,Female,3rd Class,347088,£27 18s
"SKOOG, Miss Margit Elizabeth",Victim,Sweden,2.0,Passenger,Female,3rd Class,347088,£27 18s
"SKOOG, Mrs Anna Bernhardina",Victim,Sweden,43.0,Passenger,Female,3rd Class,347088,£27 18s
"CANDEE, Mrs Helen Churchill",Survivor,United States,52.0,Passenger,Female,1st Class,17606,£27 8s 11d
"PARTNER, Mr Austin",Victim,England,40.0,Passenger,Male,1st Class,113043,£28 10s
"GRACIE, Colonel Archibald",Survivor,United States,53.0,Passenger,Male,1st Class,113780,£28 10s
"TUCKER, Mr Gilbert Milligan jr",Survivor,United States,31.0,Passenger,Male,1st Class,2543,£28 10s 9d
"ISHAM, Miss Ann Elizabeth",Victim,United States,50.0,Passenger,Female,1st Class,17595,£28 14s 3d
"CALDWELL, Master Alden Gates",Survivor,Thailand,0.83,Passenger,Male,2nd Class,248738,£29
"CALDWELL, Mr Albert Francis",Survivor,Thailand,26.0,Passenger,Male,2nd Class,248738,£29
"CALDWELL, Mrs Sylvia Mae",Survivor,United States,28.0,Passenger,Female,2nd Class,248738,£29
"KENT, Mr Edward Austin",Victim,United States,58.0,Passenger,Male,1st Class,11771,£29 14s
"MARéCHAL, Mr Pierre",Survivor,France,29.0,Passenger,Male,1st Class,11774,£29 14s
"CHEVRé, Mr Paul Romaine Marie Léonce",Survivor,France,45.0,Passenger,Male,1st Class,17594,£29 14s
"DULLES, Mr William Crothers",Victim,United States,39.0,Passenger,Male,1st Class,17580,£29 14s
"NATSCH, Mr Charles",Victim,United States,36.0,Passenger,Male,1st Class,17596,£29 14s
"RICE, Mrs Margaret",Victim,Ireland,39.0,Passenger,Female,3rd Class,382652,£29 2s 6d
"RICE, Master Albert",Victim,Ireland,10.0,Passenger,Male,3rd Class,382652,£29 2s 6d
"RICE, Master Arthur",Victim,Ireland,4.0,Passenger,Male,3rd Class,382652,£29 2s 6d
"RICE, Master Eric",Victim,Ireland,7.0,Passenger,Male,3rd Class,382652,£29 2s 6d
"RICE, Master Eugene Francis",Victim,Ireland,2.0,Passenger,Male,3rd Class,382652,£29 2s 6d
"RICE, Master George Hugh",Victim,Ireland,8.0,Passenger,Male,3rd Class,382652,£29 2s 6d
"DYER-EDWARDES, Mr Thomas",,,65.0,Passenger,Male,1st Class,87,£3
"DYER-EDWARDES, Mrs Clementina Georgina Lucy",,,53.0,Passenger,Female,1st Class,87,£3
"FORMAN, Mr J.",,,,Passenger,Male,1st Class,85,£3
"FORMAN, Mrs",,,,Passenger,Female,1st Class,85,£3
"LENOX-CONYNGHAM, Master Dennis",,,10.0,Passenger,Male,1st Class,84,£3
"LENOX-CONYNGHAM, Miss Eileen",,,11.0,Passenger,Female,1st Class,84,£3
"LENOX-CONYNGHAM, Mrs",,,,Passenger,Female,1st Class,84,£3
"NOEL, Major Gerard Thomas",,,56.0,Passenger,Male,1st Class,48,£3
"NOEL, Master William Henry Middleton",,,13.0,Passenger,Male,1st Class,48,£3
"OLSEN, Master Artur Karl",Survivor,Norway,9.0,Passenger,Male,3rd Class,17368,£3 3s 5d
"BARKWORTH, Mr Algernon Henry",Survivor,England,47.0,Passenger,Male,1st Class,27042,£30
"HAWKSFORD, Mr Walter James",Survivor,,45.0,Passenger,Male,1st Class,16988,£30
"GRAHAM, Mr George Edward",Victim,Canada,38.0,Passenger,Male,1st Class,112053,£30
"BEHR, Mr Karl Howell",Survivor,United States,26.0,Passenger,Male,1st Class,111369,£30
"CHRISTY, Miss Rachel Juli Cohen",Survivor,England,25.0,Passenger,Female,2nd Class,237789,£30
"CHRISTY, Mrs Alice Frances",Survivor,England,45.0,Passenger,Female,2nd Class,237789,£30
"LONG, Mr Milton Clyde",Victim,United States,29.0,Passenger,Male,1st Class,113501,£30
"SAALFELD, Mr Adolphe",Survivor,England,47.0,Passenger,Male,1st Class,19988,£30 10s
"MOLSON, Mr Harry Markland",Victim,Canada,55.0,Passenger,Male,1st Class,113787,£30 10s
"STäHELIN-MAEGLIN, Dr Max",Survivor,Switzerland,32.0,Passenger,Male,1st Class,13214,£30 10s
"DANIEL, Mr Robert Williams",Survivor,Canada,27.0,Passenger,Male,1st Class,113804,£30 10s
"PEUCHEN, Major Arthur Godfrey",Survivor,Canada,52.0,Passenger,Male,1st Class,113786,£30 10s
"BRADY, Mr John Bertram",Victim,United States,41.0,Passenger,Male,1st Class,113054,£30 10s
"HOYT, Mr William Fisher",Victim,United States,42.0,Passenger,Male,1st Class,17600,£30 13s 11d
"SMITH, Mr James Clinch",Victim,France,56.0,Passenger,Male,1st Class,17764,£30 13s 11d
"NASSER, Mrs Adele",Survivor,Lebanon,14.0,Passenger,Female,2nd Class,237736,£30 1s 5d
"NASSER, Mr Nicholas",Victim,United States,28.0,Passenger,Male,2nd Class,237736,£30 1s 5d
"BLANK, Mr Henry",Survivor,United States,39.0,Passenger,Male,1st Class,112277,£31
"SERREPLAN, Miss Auguste",Survivor,,30.0,Passenger,Female,1st Class,113798,£31
"CAIRNS, Mr Alexander Milne",Victim,,28.0,Passenger,Male,1st Class,113798,£31
"DENBUOY, Mr Albert (""Herbert"")",Victim,Channel Islands,25.0,Passenger,Male,2nd Class,31029,£31 10s
"JEFFERYS, Mr Clifford Thomas",Victim,Channel Islands,24.0,Passenger,Male,2nd Class,31029,£31 10s
"JEFFERYS, Mr Ernest Wilfred",Victim,Channel Islands,22.0,Passenger,Male,2nd Class,31029,£31 10s
"EVANS, Miss Edith Corse",Victim,United States,36.0,Passenger,Female,1st Class,17531,£31 13s 7d
"FLEGENHEIM, Mrs Antoinette",Survivor,United States,48.0,Passenger,Female,1st Class,17598,£31 13s 8d
"ANDERSSON, Mr Anders Johan",Victim,Sweden,39.0,Passenger,Male,3rd Class,347082,£31 5s 6d
"ANDERSSON, Master Sigvard Harald Elias",Victim,Sweden,4.0,Passenger,Male,3rd Class,347082,£31 5s 6d
"ANDERSSON, Miss Ebba Iris Alfrida",Victim,Sweden,6.0,Passenger,Female,3rd Class,347082,£31 5s 6d
"ANDERSSON, Miss Ellis Anna Maria",Victim,Sweden,2.0,Passenger,Female,3rd Class,347082,£31 5s 6d
"ANDERSSON, Miss Ingeborg Constanzia",Victim,Sweden,9.0,Passenger,Female,3rd Class,347082,£31 5s 6d
"ANDERSSON, Miss Sigrid Elisabeth",Victim,Sweden,11.0,Passenger,Female,3rd Class,347082,£31 5s 6d
"ANDERSSON, Mrs Alfrida Konstantia Brogren",Victim,Sweden,39.0,Passenger,Female,3rd Class,347082,£31 5s 6d
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",Victim,Sweden,40.0,Passenger,Male,3rd Class,347077,£31 7s 9d
"ASPLUND, Master Edvin Rojj Felix",Survivor,Sweden,3.0,Passenger,Male,3rd Class,347077,£31 7s 9d
"ASPLUND, Miss Lillian Gertrud",Survivor,Sweden,5.0,Passenger,Female,3rd Class,347077,£31 7s 9d
"ASPLUND, Mrs Selma Augusta Emilia",Survivor,Sweden,38.0,Passenger,Female,3rd Class,347077,£31 7s 9d
"ASPLUND, Master Carl Edgar",Victim,Sweden,5.0,Passenger,Male,3rd Class,347077,£31 7s 9d
"ASPLUND, Master Clarence Gustaf Hugo",Victim,Sweden,9.0,Passenger,Male,3rd Class,347077,£31 7s 9d
"ASPLUND, Master Filip Oscar",Victim,Sweden,13.0,Passenger,Male,3rd Class,347077,£31 7s 9d
"DREW, Master Marshall Brines",Survivor,United States,8.0,Passenger,Male,2nd Class,28220,£32 10s
"DREW, Mrs Lulu Thorne",Survivor,United States,34.0,Passenger,Female,2nd Class,28220,£32 10s
"DREW, Mr James Vivian",Victim,United States,42.0,Passenger,Male,2nd Class,28220,£32 10s
"SUTTON, Mr Frederick",Victim,United States,61.0,Passenger,Male,1st Class,36963,£32 6s 5d
"HARPER, Rev. John",Victim,England,39.0,Passenger,Male,2nd Class,248727,£33
"HARPER, Miss Annie Jessie",Survivor,England,6.0,Passenger,Female,2nd Class,248727,£33
"LEITCH, Miss Jessie Wills",Survivor,England,31.0,Passenger,Female,2nd Class,248727,£33
"VAN DER HOEF, Mr Wyckoff",Victim,United States,61.0,Passenger,Male,1st Class,111240,£33 10s
"GOLDSCHMIDT, Mr George B.",Victim,United States,71.0,Passenger,Male,1st Class,17754,£34 13s 1d
"WALKER, Mr William Anderson",Victim,United States,48.0,Passenger,Male,1st Class,36967,£34 5d
"FORD, Mr Edward Watson",Victim,England,18.0,Passenger,Male,3rd Class,6608,£34 7s 6d
"FORD, Mrs Margaret Ann Watson",Victim,England,48.0,Passenger,Female,3rd Class,6608,£34 7s 6d
"FORD, Mr William Neal Thomas",Victim,England,16.0,Passenger,Male,3rd Class,6608,£34 7s 6d
"FORD, Miss Dollina Margaret",Victim,England,20.0,Passenger,Female,3rd Class,6608,£34 7s 6d
"FORD, Miss Robina Maggie",Victim,England,7.0,Passenger,Female,3rd Class,6608,£34 7s 6d
"WILLIAMS, Mr Fletcher Fellowes Lambert",Victim,England,44.0,Passenger,Male,1st Class,113510,£35
"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons",Survivor,Switzerland,56.0,Passenger,Male,1st Class,13213,£35 10s
"WOOLNER, Mr Hugh",Survivor,England,45.0,Passenger,Male,1st Class,19947,£35 10s
"SLOPER, Mr William Thompson",Survivor,United States,28.0,Passenger,Male,1st Class,113788,£35 10s
"BLACKWELL, Mr Stephen Weart",Victim,United States,45.0,Passenger,Male,1st Class,113784,£35 10s
"NICHOLLS, Mr Joseph Charles",Victim,England,19.0,Passenger,Male,2nd Class,33112,£36 15s
"DAVIES, Master John Morgan jr",Survivor,England,8.0,Passenger,Male,2nd Class,33112,£36 15s
"DAVIES, Mrs Elizabeth Agnes Mary",Survivor,England,48.0,Passenger,Female,2nd Class,33112,£36 15s
"SINCOCK, Miss Maude",Survivor,England,20.0,Passenger,Female,2nd Class,33112,£36 15s
"MALLET, Mr Albert Denis Pierre",Victim,France,45.0,Passenger,Male,2nd Class,2079,£37 1d
"MALLET, Master André Clement",Survivor,France,1.0,Passenger,Male,2nd Class,2079,£37 1d
"MALLET, Mrs Antonine Marie",Survivor,France,24.0,Passenger,Female,2nd Class,2079,£37 1d
"GEE, Mr Arthur H.",Victim,England,47.0,Passenger,Male,1st Class,111320,£38 10s
"BROWN, Mr Thomas William Solomon",Victim,South Africa,60.0,Passenger,Male,2nd Class,29750,£39
"BROWN, Miss Edith Eileen",Survivor,South Africa,15.0,Passenger,Female,2nd Class,29750,£39
"BECKER, Master Richard F.",Survivor,India,1.0,Passenger,Male,2nd Class,230136,£39
"BECKER, Miss Marion Louise",Survivor,India,4.0,Passenger,Female,2nd Class,230136,£39
"BECKER, Miss Ruth Elizabeth",Survivor,India,12.0,Passenger,Female,2nd Class,230136,£39
"BECKER, Mrs Nellie E.",Survivor,India,35.0,Passenger,Female,2nd Class,230136,£39
"BROWN, Mrs Elizabeth Catherine",Survivor,South Africa,40.0,Passenger,Female,2nd Class,29750,£39
"RHEIMS, Mr George Alexander Lucien",Survivor,France,33.0,Passenger,Male,1st Class,17607,£39 12s
"DUFF GORDON, Sir Cosmo Edmund",Survivor,England,49.0,Passenger,Male,1st Class,11755,£39 12s
"BREWE, Dr Arthur Jackson",Victim,United States,45.0,Passenger,Male,1st Class,112379,£39 12s
"PANULA, Master Jaako Arnold",Victim,Finland,14.0,Passenger,Male,3rd Class,3101295,£39 13s 9d
"PANULA, Mr Ernesti Arvid",Victim,Finland,16.0,Passenger,Male,3rd Class,3101295,£39 13s 9d
"PANULA, Master Eino Viljam",Victim,Finland,1.0,Passenger,Male,3rd Class,3101295,£39 13s 9d
"PANULA, Master Juha Niilo",Victim,Finland,7.0,Passenger,Male,3rd Class,3101295,£39 13s 9d
"PANULA, Master Urho Abraham",Victim,Finland,2.0,Passenger,Male,3rd Class,3101295,£39 13s 9d
"PANULA, Mrs Maija Emelia Abrahamintytar",Victim,Finland,41.0,Passenger,Female,3rd Class,3101295,£39 13s 9d
"RIIHIVUORI, Miss Susanna Juhantytär",Victim,Finland,22.0,Passenger,Female,3rd Class,3101295,£39 13s 9d
"LINES, Miss Mary Conover",Survivor,France,16.0,Passenger,Female,1st Class,17592,£39 8s
"LINES, Mrs Elizabeth Lindsey",Survivor,France,50.0,Passenger,Female,1st Class,17592,£39 8s
"NICHOLS, Mr E.",,,,Passenger,Male,1st Class,103,£4
"SEMAN, Master Betros",Victim,Lebanon,10.0,Passenger,Male,3rd Class,2622,£4 3d
"ROSS, Mr John Hugo",Victim,Canada,36.0,Passenger,Male,1st Class,13049,£40 2s 6d
"LAROCHE, Mr Joseph Philippe Lemercier",Victim,France,25.0,Passenger,Male,2nd Class,2123,£41 11s 7d
"LAROCHE, Miss Louise",Survivor,France,1.0,Passenger,Female,2nd Class,2123,£41 11s 7d
"LAROCHE, Miss Simonne Marie Anne Andrée",Survivor,France,3.0,Passenger,Female,2nd Class,2123,£41 11s 7d
"LAROCHE, Mrs Juliette Marie Louise",Survivor,France,22.0,Passenger,Female,2nd Class,2123,£41 11s 7d
"HEAD, Mr Christopher",Victim,,42.0,Passenger,Male,1st Class,113038,£42 10s
"MOORE, Mr Clarence Bloomfield",Victim,United States,47.0,Passenger,Male,1st Class,113796,£42 8s
"HARRINGTON, Mr Charles Henry",Victim,,37.0,Passenger,Male,1st Class,113796,£42 8s
"LORING, Mr Joseph Holland",Victim,United States,30.0,Passenger,Male,1st Class,113801,£45 10s
"GOODWIN, Mr Frederick Joseph",Victim,England,42.0,Passenger,Male,3rd Class,2144,£46 18s
"GOODWIN, Mr Charles Edward",Victim,England,14.0,Passenger,Male,3rd Class,2144,£46 18s
"GOODWIN, Miss Lillian Amy",Victim,England,16.0,Passenger,Female,3rd Class,2144,£46 18s
"GOODWIN, Master Harold Victor",Victim,England,9.0,Passenger,Male,3rd Class,2144,£46 18s
"GOODWIN, Master Sidney Leslie",Victim,England,1.0,Passenger,Male,3rd Class,2144,£46 18s
"GOODWIN, Master William Frederick",Victim,England,11.0,Passenger,Male,3rd Class,2144,£46 18s
"GOODWIN, Miss Jessie Allis",Victim,England,10.0,Passenger,Female,3rd Class,2144,£46 18s
"GOODWIN, Mrs Augusta",Victim,England,43.0,Passenger,Female,3rd Class,2144,£46 18s
"CARRAú-ESTEVES, Mr José Pedro",Victim,Uruguay,17.0,Passenger,Male,1st Class,113059,£47 2s
"CARRAU, Mr Francisco Mauro Severiano",Victim,Uruguay,27.0,Passenger,Male,1st Class,113059,£47 2s
"FRöLICHER, Miss Hedwig Margaritha",Survivor,Switzerland,22.0,Passenger,Female,1st Class,13568,£49 10s
"ARTAGAVEYTIA, Mr Ramon",Victim,Argentina,71.0,Passenger,Male,1st Class,17609,£49 10s 1d
"MAYNé, Mlle Berthe Antonine",Survivor,Belgium,24.0,Passenger,Female,1st Class,17482,£49 10s 1d
"CARLSSON, Mr Frans Olof",Victim,United States,33.0,Passenger,Male,1st Class,695,£5
"HIPKINS, Mr William Edward",Victim,England,55.0,Passenger,Male,1st Class,680,£50
"ROOD, Mr Hugh Roscoe",Victim,United States,38.0,Passenger,Male,1st Class,113767,£50
"ROEBLING, Mr Washington Augustus II",Victim,United States,31.0,Passenger,Male,1st Class,17590,£50 9s 11d
"BRANDEIS, Mr Emil",Victim,United States,48.0,Passenger,Male,1st Class,17591,£50 9s 11d
"HILLIARD, Mr Herbert Henry",Victim,United States,44.0,Passenger,Male,1st Class,17463,£51 17s 3d
"MCCARTHY, Mr Timothy J.",Victim,United States,54.0,Passenger,Male,1st Class,17463,£51 17s 3d
"KENYON, Mrs Marion",Survivor,United States,31.0,Passenger,Female,1st Class,17464,£51 17s 3d
"KENYON, Mr Frederick R.",Victim,United States,41.0,Passenger,Male,1st Class,17464,£51 17s 3d
"APPLETON, Mrs Charlotte",Survivor,United States,53.0,Passenger,Female,1st Class,11769,£51 9s 7d
"BROWN, Mrs Caroline Lane",Survivor,United States,59.0,Passenger,Female,1st Class,11769,£51 9s 7d
"CARDEZA, Mr Thomas Drake Martinez",Survivor,United States,36.0,Passenger,Male,1st Class,17755,£512 6s 7d
"WARD, Miss Annie Moore",Survivor,,35.0,Passenger,Female,1st Class,17755,£512 6s 7d
"LESUEUR, Mr Gustave J.",Survivor,,35.0,Passenger,Male,1st Class,17755,£512 6s 7d
"CARDEZA, Mrs Charlotte Wardle",Survivor,United States,58.0,Passenger,Female,1st Class,17755,£512 6s 7d
"TAYLOR, Mr Elmer Zebley",Survivor,United States,48.0,Passenger,Male,1st Class,19996,£52
"DAVIDSON, Mrs Orian",Survivor,Canada,27.0,Passenger,Female,1st Class,12750,£52
"HOLVERSON, Mrs Mary Aline",Survivor,United States,35.0,Passenger,Female,1st Class,113789,£52
"TAYLOR, Mrs Juliet Cummins",Survivor,United States,49.0,Passenger,Female,1st Class,19996,£52
"CLIFFORD, Mr George Quincy",Victim,United States,40.0,Passenger,Male,1st Class,110465,£52
"DAVIDSON, Mr Thornton",Victim,Canada,31.0,Passenger,Male,1st Class,12750,£52
"HOLVERSON, Mr Alexander Oskar",Victim,United States,42.0,Passenger,Male,1st Class,113789,£52
"PORTER, Mr Walter Chamberlain",Victim,United States,46.0,Passenger,Male,1st Class,110465,£52
"BECKWITH, Mr Richard Leonard",Survivor,United States,37.0,Passenger,Male,1st Class,11751,£52 11s 1d
"BECKWITH, Mrs Sallie",Survivor,United States,46.0,Passenger,Female,1st Class,11751,£52 11s 1d
"KIMBALL, Mr Edwin Nelson Jr.",Survivor,United States,42.0,Passenger,Male,1st Class,11753,£52 11s 1d
"KIMBALL, Mrs Gertrude",Survivor,United States,45.0,Passenger,Female,1st Class,11753,£52 11s 1d
"MARVIN, Mr Daniel Warner",Victim,United States,18.0,Passenger,Male,1st Class,113773,£53 2s
"FUTRELLE, Mr Jacques Heath",Victim,England,37.0,Passenger,Male,1st Class,113803,£53 2s
"CHAMBERS, Mr Norman Campbell",Survivor,United States,27.0,Passenger,Male,1st Class,113806,£53 2s
"CHAMBERS, Mrs Bertha",Survivor,United States,32.0,Passenger,Female,1st Class,113806,£53 2s
"FUTRELLE, Mrs Lily May",Survivor,England,35.0,Passenger,Female,1st Class,113803,£53 2s
"MARVIN, Mrs Mary Graham Carmichael",Survivor,United States,18.0,Passenger,Female,1st Class,113773,£53 2s
"CHIBNALL, Mrs Edith Martha Bowerman",Survivor,England,48.0,Passenger,Female,1st Class,113505,£55
"BOWERMAN, Miss Elsie Edith",Survivor,England,22.0,Passenger,Female,1st Class,113505,£55
"SILVEY, Mrs Alice",Survivor,United States,39.0,Passenger,Female,1st Class,13507,£55 18s
"SILVEY, Mr William Baird",Victim,United States,50.0,Passenger,Male,1st Class,13507,£55 18s
"HARDER, Mr George Achilles",Survivor,United States,25.0,Passenger,Male,1st Class,11765,£55 8s 10d
"STENGEL, Mr Charles Emil Henry",Survivor,United States,54.0,Passenger,Male,1st Class,11778,£55 8s 10d
"HARDER, Mrs Dorothy",Survivor,United States,21.0,Passenger,Female,1st Class,11765,£55 8s 10d
"STENGEL, Mrs Annie May",Survivor,United States,44.0,Passenger,Female,1st Class,11778,£55 8s 10d
"DUFF GORDON, Lucy Christiana, Lady",Survivor,England,48.0,Passenger,Female,1st Class,17485,£56 18s 7d
"FRANCATELLI, Miss Laura Mabel",Survivor,England,31.0,Passenger,Female,1st Class,17485,£56 18s 7d
"BING, Mr Lee",Survivor,,32.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"CHIP, Mr Chang",Survivor,,32.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"FOO, Mr Choong",Survivor,,32.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"HEE, Mr Ling",Survivor,,24.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"LAM, Mr Ali",Survivor,Hong Kong,38.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"LANG, Mr Fang",Survivor,,32.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"LAM, Mr Len",Victim,,23.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"LING, Mr Lee",Victim,,28.0,Passenger,Male,3rd Class,1601,£56 9s 11d
"DICK, Mr Albert Adrian",Survivor,Canada,31.0,Passenger,Male,1st Class,17474,£57
"DICK, Mrs Vera",Survivor,United States,17.0,Passenger,Female,1st Class,17474,£57
"MOCK, Mr Philipp Edmund",Survivor,United States,30.0,Passenger,Male,1st Class,13236,£57 15s
"SCHABERT, Mrs Emma",Survivor,Germany,35.0,Passenger,Female,1st Class,13236,£57 15s
"HIPPACH, Miss Jean Gertrude",Survivor,United States,17.0,Passenger,Female,1st Class,111361,£57 19s 7d
"HIPPACH, Mrs Ida Sophia",Survivor,United States,44.0,Passenger,Female,1st Class,111361,£57 19s 7d
"GIBSON, Miss Dorothy Winifred",Survivor,United States,22.0,Passenger,Female,1st Class,112378,£59 8s
"GIBSON, Mrs Pauline Caroline",Survivor,United States,44.0,Passenger,Female,1st Class,112378,£59 8s
"ROTHSCHILD, Mrs Elizabeth Jane Anne",Survivor,United States,54.0,Passenger,Female,1st Class,17603,£59 8s
"ROTHSCHILD, Mr Martin",Victim,United States,46.0,Passenger,Male,1st Class,17603,£59 8s
"BURKE, Mr Jeremiah",Victim,Ireland,19.0,Passenger,Male,3rd Class,365222,£6 15s
"HEGARTY, Miss Hanora ""Nora""",Victim,Ireland,18.0,Passenger,Female,3rd Class,365226,£6 15s
"HART, Mr Henry",Victim,Ireland,28.0,Passenger,Male,3rd Class,394140,£6 17s 2d
"FLYNN, Mr John",Victim,Ireland,42.0,Passenger,Male,3rd Class,368323,£6 19s
"DALY, Miss Margaret Marcella ""Maggie""",Survivor,Ireland,30.0,Passenger,Female,3rd Class,382650,£6 19s
"HAGLAND, Mr Ingvald Olai Olsen",Victim,Norway,28.0,Passenger,Male,3rd Class,65303,£6 19s 4d
"HAGLAND, Mr Konrad Mathias Reiersen",Victim,Norway,19.0,Passenger,Male,3rd Class,65304,£6 19s 4d
"EKSTRöM, Mr Johan",Victim,Sweden,45.0,Passenger,Male,3rd Class,347061,£6 19s 6d
"HEDMAN, Mr Oskar Arvid",Survivor,Sweden,27.0,Passenger,Male,3rd Class,347089,£6 19s 6d
"NYSVEEN, Mr Johan Hansen",Victim,Norway,60.0,Passenger,Male,3rd Class,345364,£6 4s 9d
"THOMAS, Mr Charles R'ad.",Victim,Lebanon,31.0,Passenger,Male,3rd Class,2621,£6 8s 9d
"THOMAS/TANNOUS, Mr John",Victim,,34.0,Passenger,Male,3rd Class,2681,£6 8s 9d
"LYMPEROPOULUS, Mr Panagiotis K.",Victim,Greece,30.0,Passenger,Male,3rd Class,2683,£6 8s 9d
"HOLM, Mr John Fredrik Alexander",Victim,Sweden,43.0,Passenger,Male,3rd Class,7075,£6 9s
"JOHANSON, Mr Jakob Alfred",Victim,Finland,34.0,Passenger,Male,3rd Class,3101264,£6 9s 11d
"WIKLUND, Mr Jakob Alfred",Victim,Finland,18.0,Passenger,Male,3rd Class,3101267,£6 9s 11d
"WIKLUND, Mr Karl Johan",Victim,Finland,21.0,Passenger,Male,3rd Class,3101266,£6 9s 11d
"SJöBLOM, Miss Anna Sofia",Survivor,Finland,18.0,Passenger,Female,3rd Class,3101265,£6 9s 11d
"SMITH, Mrs Mary Eloise",Survivor,United States,18.0,Passenger,Female,1st Class,13695,£60
"SMITH, Mr Lucian Philip",Victim,United States,24.0,Passenger,Male,1st Class,13695,£60
"OSTBY, Mr Engelhart Cornelius",Victim,United States,64.0,Passenger,Male,1st Class,113509,£61 19s 7d
"ØSTBY, Miss Helen Ragnhild",Survivor,United States,22.0,Passenger,Female,1st Class,113509,£61 19s 7d
"CHAFFEE, Mrs Carrie Constance",Survivor,United States,47.0,Passenger,Female,1st Class,5734,£61 3s 6d
"CHAFFEE, Mr Herbert Fuller",Victim,United States,46.0,Passenger,Male,1st Class,5734,£61 3s 6d
"WILLIAMS, Mr Charles Duane",Victim,Switzerland,51.0,Passenger,Male,1st Class,17597,£61 7s 7d
"WILLIAMS, Mr Richard Norris II",Survivor,Switzerland,21.0,Passenger,Male,1st Class,17597,£61 7s 7d
"BESSETTE, Miss Nellie Mayo",Survivor,,39.0,Passenger,Female,1st Class,17760,£63 7s 2d
"GREENFIELD, Mr William Bertram",Survivor,United States,23.0,Passenger,Male,1st Class,17759,£63 7s 2d
"GREENFIELD, Mrs Blanche",Survivor,United States,45.0,Passenger,Female,1st Class,17759,£63 7s 2d
"SWEET, Mr George Frederick",Victim,England,14.0,Passenger,Male,2nd Class,220845,£65
"HERMAN, Mr Samuel",Victim,England,49.0,Passenger,Male,2nd Class,220845,£65
"HERMAN, Miss Alice",Survivor,,23.0,Passenger,Female,2nd Class,220845,£65
"HERMAN, Miss Kate",Survivor,,23.0,Passenger,Female,2nd Class,220845,£65
"HERMAN, Mrs Jane",Survivor,,48.0,Passenger,Female,2nd Class,220845,£65
"PEARS, Mr Thomas Clinton",Victim,England,29.0,Passenger,Male,1st Class,113776,£66 12s
"PEARS, Mrs Edith",Survivor,England,22.0,Passenger,Female,1st Class,113776,£66 12s
"SAGE, Mr Douglas Bullen",Victim,England,18.0,Passenger,Male,3rd Class,2343,£69 11s
"SAGE, Mr George John",Victim,England,19.0,Passenger,Male,3rd Class,2343,£69 11s
"SAGE, Mr Frederick",Victim,England,16.0,Passenger,Male,3rd Class,2343,£69 11s
"SAGE, Miss Stella Anne",Victim,England,20.0,Passenger,Female,3rd Class,2343,£69 11s
"SAGE, Miss Dorothy",Victim,England,14.0,Passenger,Female,3rd Class,2343,£69 11s
"SAGE, Mr John George",Victim,England,44.0,Passenger,Male,3rd Class,2343,£69 11s
"SAGE, Master Anthony William",Victim,England,12.0,Passenger,Male,3rd Class,2343,£69 11s
"SAGE, Master Thomas Henry",Victim,England,4.0,Passenger,Male,3rd Class,2343,£69 11s
"SAGE, Miss Constance Gladys",Victim,England,7.0,Passenger,Female,3rd Class,2343,£69 11s
"SAGE, Miss Elizabeth Ada",Victim,England,10.0,Passenger,Female,3rd Class,2343,£69 11s
"SAGE, Mrs Annie Elizabeth",Victim,England,44.0,Passenger,Female,3rd Class,2343,£69 11s
"SäGESSER, Mlle Emma",Survivor,,24.0,Passenger,Female,1st Class,17477,£69 6s
"AUBART, Mme. Léontine Pauline",Survivor,France,24.0,Passenger,Female,1st Class,17477,£69 6s
"PEARCE, Mr Ernest",Victim,England,32.0,Passenger,Male,3rd Class,343271,£7
"WILKES, Mrs Ellen",Survivor,England,47.0,Passenger,Female,3rd Class,363272,£7
"KARLSSON, Mr Nils August",Victim,Sweden,22.0,Passenger,Male,3rd Class,350060,£7 10s 5d
"BRAUND, Mr Lewis Richard",Victim,England,29.0,Passenger,Male,3rd Class,3460,£7 11d
"KUTSCHER (LITHMAN), Mr Simon",Victim,Scotland,26.0,Passenger,Male,3rd Class,251,£7 11s
"ABBING, Mr Anthony",Victim,United States,42.0,Passenger,Male,3rd Class,5547,£7 11s
"WARREN, Mr Charles William",Victim,England,30.0,Passenger,Male,3rd Class,49867,£7 11s
"MACKAY, Mr George William",Victim,England,20.0,Passenger,Male,3rd Class,42795,£7 11s
"WILLEY, Mr Edward",Victim,England,18.0,Passenger,Male,3rd Class,751,£7 11s
"DUQUEMIN, Mr Joseph Pierre",Survivor,Channel Islands,19.0,Passenger,Male,3rd Class,752,£7 11s
"STANLEY, Miss Amy Zillah Elsie",Survivor,England,24.0,Passenger,Female,3rd Class,2314,£7 11s
"HARKNETT, Miss Alice Phoebe",Victim,England,21.0,Passenger,Female,3rd Class,6609,£7 11s
"SADOWITZ, Mr Harry",Victim,England,17.0,Passenger,Male,3rd Class,1588,£7 11s 10d
